feature,locked_gain_importance,split_count,normalized_weight,percentage_weight
solar_rad,1161325.6542922854,1730,0.5139173191237636,51.39173191237636
soil_moisture,415444.69342947006,1724,0.18384526536751403,18.3845265367514
soil_moisture_roll24h,366812.5104891062,1103,0.1623242380936621,16.23242380936621
cos_hour,150368.7958806157,536,0.06654216943646811,6.654216943646811
temp_c,59105.73844906688,5199,0.026155852612319737,2.6155852612319737
sin_hour,39668.76279364526,60,0.017554476776189216,1.7554476776189216
ndvi,20735.99558851123,3974,0.009176226515640032,0.9176226515640031
cos_doy,16418.328760832548,427,0.007265544741971258,0.7265544741971258
temp_c_roll24h,9870.456254020333,911,0.004367937966276796,0.4367937966276796
wind_speed,5104.149789482355,2875,0.002258721286765532,0.22587212867655318
soil_moisture_lag4,4772.334968373179,576,0.002111884451912454,0.2111884451912454
sin_doy,4185.958946689963,748,0.0018523975526537452,0.18523975526537453
temp_c_lag4,2755.102029517293,867,0.001219205520595183,0.1219205520595183
soil_moisture_lag1,791.2963786572218,599,0.0003501695773694778,0.03501695773694778
solar_rad_roll24h,633.1205775886774,654,0.0002801726016418229,0.02801726016418229
precip,582.1865246146917,362,0.00025763293599355983,0.02576329359935598
ndvi_lag1,429.55029210448265,497,0.00019008736587472776,0.019008736587472777
temp_c_lag1,253.23876598477364,698,0.00011206485212144471,0.01120648521214447
pressure_kpa,228.60992720723152,612,0.00010116593952883591,0.010116593952883592
precip_cum48h,192.32387763261795,458,8.510840282493736e-05,0.008510840282493735
precip_lag1,73.12303911149502,190,3.235887891347968e-05,0.003235887891347968
