year,sample_count,annual_precip_mm,predicted_annual_et_mm,green_water_use_m3_ha,blue_water_use_m3_ha,total_water_use_m3_ha,green_water_footprint_m3_ton,blue_water_footprint_m3_ton,total_water_footprint_m3_ton,green_water_ratio_pct
1990,1460,1697.3937427800483,6649.303636361559,5704.9563556316825,27541.561826176112,33246.5181818078,38.03304237087789,183.61041217450742,221.6434545453853,17.159560284463247
1991,1460,2287.5888233964106,6676.958857003586,6889.412602291433,26495.381682726493,33384.794285017924,45.929417348609554,176.6358778848433,222.56529523345284,20.636378683419423
1992,1464,2000.5717745049365,6679.978547557215,6114.070169474868,27285.822568311214,33399.89273778608,40.76046779649912,181.90548378874144,222.66595158524055,18.30565801518096
1993,1460,1865.6389145992339,6651.069248803031,5957.849465232737,27297.496778782413,33255.34624401515,39.718996434884914,181.98331185854943,221.70230829343433,17.915463560785376
1994,1460,1933.5976528756453,6657.6442911059985,5990.578964439524,27297.642491090468,33288.221455529994,39.93719309626349,181.98428327393646,221.92147637019994,17.99609193734862
1995,1460,2036.9997227927179,6664.336058429613,6315.490216075961,27006.190076072107,33321.68029214807,42.10326810717307,180.04126717381405,222.14453528098713,18.95309639932684
1996,1464,1924.7277691510624,6665.908371294719,6400.138363958436,26929.403492515157,33329.541856473596,42.667589093056236,179.52935661676773,222.19694570982398,19.202599191778084
1997,1460,1769.8302970058676,6648.428476219201,5775.532044679803,27466.610336416197,33242.142381096,38.50354696453202,183.11073557610797,221.61428254063998,17.37412695128524
1998,1460,1813.2658046476345,6657.53365631932,6345.316986448807,26942.35129514779,33287.6682815966,42.30211324299205,179.61567530098526,221.9177885439773,19.06206497907148
1999,1460,1961.8885905427878,6661.633972916605,6154.550971179783,27153.618893403236,33308.16986458302,41.03033980786522,181.02412595602158,222.0544657638868,18.477601646938844
